,Average,Average,Average,Average,Average,Average,Average,Average,95% CI,95% CI,95% CI,95% CI,95% CI,95% CI,95% CI,95% CI
,AUROC,Sensitivity,Specificity,PPV,NPV,F1 Score,TPR,FPR,AUROC,Sensitivity,Specificity,PPV,NPV,F1 Score,TPR,FPR
No Finding,0.7715247498807709,0.8606910994764398,0.5143943943943945,0.7727262673762051,0.6619739936059595,0.8138554113811005,0.0005235602094240837,0.0,0.0012596293497530156,0.011507831864899084,0.019803288970383214,0.005031754079285894,0.010214244460886776,0.0029928680669963933,4.3377120976572523e-20,0.0
Atelectasis,0.8898230650797919,0.001379310344827586,0.9997306874557051,0.041333333333333326,0.9701250569054913,0.0026573305107745753,0.002758620689655172,0.0002693125442948264,0.001647833292965287,0.0014943872618612835,0.00017607266973772596,0.04790319126460506,4.126019884808075e-05,0.002879342246146479,0.001964009638928671,6.0548844290146866e-05
Cardiomegaly,0.7744176660338628,0.00043478260869565214,0.9999716009939652,0.013333333333333332,0.9683864703531789,0.0008421052631578947,0.002173913043478261,0.0002839900603478878,0.004960976508257214,0.0008521739130434781,5.566205182818287e-05,0.02613333333333333,2.4418984015473006e-05,0.001650526315789474,0.001739492715889503,5.68098437564197e-05
Consolidation,0.7870307179981948,0.0,1.0,0.0,0.9604675146098316,0.0,0.0006956521739130435,0.0003292770221904081,0.002882008715414086,0.0,0.0,0.0,0.0,0.0,0.0009438250881924303,3.884748931357533e-05
Effusion,0.9380527138102032,0.14628571428571427,0.9929671897289589,0.4333060964715485,0.9688202025466331,0.21231955707784864,0.005333333333333332,0.00015691868758915838,0.0015281456875991212,0.02619725515732093,0.0012337061646780778,0.025161385953576535,0.0008999284715622374,0.029694862315532176,0.001891391805777683,7.082601269852236e-05
Infiltration,0.6994237939358703,0.13784911717495987,0.9538057742782153,0.4525665617244487,0.8024517639285764,0.20773509111041355,0.0005778491171749599,0.0002799650043744533,0.0021322314378910442,0.015831024573808118,0.006396441635665759,0.011941047389654196,0.0019385136028125642,0.01762061056042958,0.0003082503945974336,8.400699730280017e-05
Pneumonia,0.7990338626544379,0.130126582278481,0.9891017964071855,0.5272246254480444,0.9276577031288994,0.20440310031938813,0.002025316455696202,0.00019461077844311377,0.002830225848353323,0.015608851142359739,0.001804908427454499,0.02144599109002692,0.0010937567468530791,0.02035875413556571,0.0008433821305183002,7.48059749000139e-05
Mass/Nodule,0.721040330805318,0.0010050251256281408,0.9997933579335794,0.06,0.9316425569342053,0.0019744023182806086,0.0010050251256281408,0.0002952029520295204,0.0034793964917967375,0.001271532220865416,0.00016215368547487337,0.08194928874569889,7.925512840727548e-05,0.002502387192887689,0.0008041875872453986,5.905288924790934e-05
Pneumothorax,0.916986778986779,0.05000000000000002,0.9987785187785189,0.4127433735854789,0.9803630741192281,0.08624242324014973,0.006666666666666666,0.00021060021060021058,0.004842608305622467,0.01686899413014786,0.00042244745003865126,0.0996462973837432,0.0003380642386521078,0.027250236483115014,0.0032666666666666664,6.87960687960688e-05
